Season;Team;Attack;Midfield;Defense;Overall
PL_15_16;Newcastle United;77;77;75;77
PL_15_16;West Ham United;76;76;74;77
PL_15_16;Southampton;76;76;76;77
PL_15_16;Leicester City;76;77;75;76
PL_15_16;West Bromwich;76;73;73;75
PL_15_16;Swansea City;77;76;76;76
PL_15_16;Watford;77;74;74;75
PL_15_16;Norwich City;78;74;73;74
PL_15_16;Bournemouth;72;74;72;73
PL_15_16;Sunderland;77;74;74;75
PL_16_17;Arsenal;81;83;82;83
PL_16_17;Manchester United;84;84;82;83
PL_16_17;Chelsea;86;84;81;83
PL_16_17;Liverpool;82;81;81;81
PL_16_17;Crystal Palace;80;77;76;77
PL_16_17;Tottenham Hotspur;85;81;81;81
PL_16_17;Manchester City;83;85;81;83
PL_16_17;Hull City;76;74;75;75
PL_16_17;Everton;85;78;79;80
PL_16_17;Stoke City;77;78;77;78
PL_16_17;Burnley;74;74;76;74
PL_16_17;West Ham United;79;77;77;78
PL_16_17;Southampton;78;76;77;78
PL_16_17;Leicester City;79;78;76;78
PL_16_17;West Bromwich;81;76;74;75
PL_16_17;Swansea City;78;76;75;77
PL_16_17;Watford;78;78;76;77
PL_16_17;Middlesbrough;76;74;74;75
PL_16_17;Bournemouth;74;75;74;74
PL_16_17;Sunderland;81;76;73;76
PL_17_18;Arsenal;84;80;81;82
PL_17_18;Manchester United;85;83;81;83
PL_17_18;Chelsea;84;86;82;83
PL_17_18;Liverpool;85;81;80;81
PL_17_18;Crystal Palace;79;76;76;76
PL_17_18;Tottenham Hotspur;85;83;82;83
PL_17_18;Manchester City;85;87;83;84
PL_17_18;Newcastle United;76;75;76;75
PL_17_18;Everton;77;80;79;79
PL_17_18;Stoke City;75;76;76;76
PL_17_18;Burnley;76;77;78;77
PL_17_18;West Ham United;79;76;74;77
PL_17_18;Southampton;76;77;75;76
PL_17_18;Leicester City;79;79;76;78
PL_17_18;West Bromwich;79;75;77;76
PL_17_18;Swansea City;76;75;74;75
PL_17_18;Watford;78;77;75;77
PL_17_18;Huddersfield Town;75;73;74;74
PL_17_18;Bournemouth;76;75;75;76
PL_17_18;Brighton & Hove Albion;74;76;74;75
PL_18_19;Arsenal;82;83;80;82
PL_18_19;Manchester United;83;83;80;82
PL_18_19;Chelsea;85;83;82;83
PL_18_19;Liverpool;86;82;82;83
PL_18_19;Crystal Palace;79;77;76;77
PL_18_19;Tottenham Hotspur;86;82;83;83
PL_18_19;Manchester City;86;88;82;85
PL_18_19;Newcastle United;75;77;76;76
PL_18_19;Everton;77;80;79;79
PL_18_19;Wolverhampton Wanderers;75;80;76;77
PL_18_19;Burnley;77;75;77;77
PL_18_19;West Ham United;78;78;77;78
PL_18_19;Southampton;75;77;74;76
PL_18_19;Leicester City;78;76;79;78
PL_18_19;Fulham;78;76;73;75
PL_18_19;Cardiff City;73;73;72;73
PL_18_19;Watford;78;78;77;77
PL_18_19;Huddersfield Town;72;73;72;73
PL_18_19;Bournemouth;79;76;77;77
PL_18_19;Brighton & Hove Albion;76;77;76;76
PL_19_20;Arsenal;84;82;78;80
PL_19_20;Manchester United;83;81;81;81
PL_19_20;Chelsea;80;84;81;81
PL_19_20;Liverpool;87;83;85;85
PL_19_20;Crystal Palace;73;77;76;77
PL_19_20;Tottenham Hotspur;85;82;82;82
PL_19_20;Manchester City;87;86;83;85
PL_19_20;Newcastle United;75;78;77;77
PL_19_20;Everton;80;78;79;78
PL_19_20;Wolverhampton Wanderers;79;79;78;78
PL_19_20;Burnley;77;76;76;76
PL_19_20;West Ham United;82;78;73;78
PL_19_20;Southampton;76;76;76;76
PL_19_20;Leicester City;80;79;79;79
PL_19_20;Aston Villa;77;75;75;76
PL_19_20;Sheffield United;73;77;75;75
PL_19_20;Watford;76;78;75;77
PL_19_20;Norwich City;75;74;72;74
PL_19_20;Bournemouth;78;76;76;76
PL_19_20;Brighton & Hove Albion;75;76;76;76
PL_20_21;Arsenal;83;79;79;80
PL_20_21;Manchester United;83;82;82;82
PL_20_21;Chelsea;82;84;82;82
PL_20_21;Liverpool;86;83;80;85
PL_20_21;Crystal Palace;77;75;75;76
PL_20_21;Tottenham Hotspur;89;82;81;82
PL_20_21;Manchester City;85;86;83;85
PL_20_21;Newcastle United;77;75;74;76
PL_20_21;Everton;81;79;80;79
PL_20_21;Wolverhampton Wanderers;77;81;78;79
PL_20_21;Burnley;75;76;77;76
PL_20_21;West Ham United;79;79;77;78
PL_20_21;Southampton;77;77;76;76
PL_20_21;Leicester City;80;81;79;80
PL_20_21;Aston Villa;77;77;77;77
PL_20_21;Sheffield United;71;74;73;73
PL_20_21;West Bromwich;74;74;72;73
PL_20_21;Fulham;74;75;74;75
PL_20_21;Leeds United;78;76;75;76
PL_20_21;Brighton & Hove Albion;75;76;76;75
PL_21_22;Arsenal;77;80;77;80
PL_21_22;Manchester United;82;83;81;83
PL_21_22;Chelsea;84;85;83;84
PL_21_22;Liverpool;86;84;85;85
PL_21_22;Crystal Palace;77;76;75;76
PL_21_22;Tottenham Hotspur;83;81;78;81
PL_21_22;Manchester City;84;87;86;85
PL_21_22;Newcastle United;78;77;77;77
PL_21_22;Everton;78;78;77;78
PL_21_22;Wolverhampton Wanderers;78;80;78;78
PL_21_22;Burnley;77;75;76;76
PL_21_22;West Ham United;80;79;77;79
PL_21_22;Southampton;75;76;76;76
PL_21_22;Leicester City;80;80;78;80
PL_21_22;Aston Villa;79;78;79;78
PL_21_22;Brentford;74;75;74;74
PL_21_22;Watford;74;75;74;74
PL_21_22;Norwich City;75;73;73;73
PL_21_22;Leeds United;77;77;75;76
PL_21_22;Brighton & Hove Albion;75;73;77;76
PL_22_23;Arsenal;81;83;80;81
PL_22_23;Manchester United;82;83;81;82
PL_22_23;Chelsea;83;79;83;83
PL_22_23;Liverpool;84;82;84;84
PL_22_23;Crystal Palace;77;76;76;76
PL_22_23;Tottenham Hotspur;84;83;80;82
PL_22_23;Manchester City;85;87;84;85
PL_22_23;Newcastle United;79;78;79;79
PL_22_23;Everton;78;77;76;77
PL_22_23;Wolverhampton Wanderers;78;80;74;78
PL_22_23;Bournemouth;72;73;73;74
PL_22_23;West Ham United;79;80;78;79
PL_22_23;Southampton;76;72;76;76
PL_22_23;Leicester City;82;80;76;79
PL_22_23;Aston Villa;78;79;79;79
PL_22_23;Brentford;76;75;74;75
PL_22_23;Nottingham Forest;75;76;77;77
PL_22_23;Fulham;77;76;74;76
PL_22_23;Leeds United;77;76;74;76
PL_22_23;Brighton & Hove Albion;75;76;77;76
PL_23_24;Arsenal;82;84;81;82
PL_23_24;Manchester United;82;83;80;82
PL_23_24;Chelsea;77;81;78;80
PL_23_24;Liverpool;84;82;84;83
PL_23_24;Crystal Palace;75;76;76;76
PL_23_24;Tottenham Hotspur;81;80;79;81
PL_23_24;Manchester City;87;86;83;85
PL_23_24;Newcastle United;79;81;82;81
PL_23_24;Everton;79;77;75;77
PL_23_24;Wolverhampton Wanderers;75;77;76;76
PL_23_24;Bournemouth;75;75;74;75
PL_23_24;West Ham United;78;79;78;78
PL_23_24;Burnley;69;74;73;74
PL_23_24;Sheffield United;72;74;72;73
PL_23_24;Aston Villa;82;79;79;80
PL_23_24;Brentford;75;76;76;76
PL_23_24;Nottingham Forest;75;77;75;77
PL_23_24;Fulham;76;77;76;77
PL_23_24;Luton Town;72;72;72;72
PL_23_24;Brighton & Hove Albion;77;77;78;77
